Code produit Fournisseur;Désignation du produit (NOM COMMERCIAL);Prix d'achat HT;Frais de Livraison;Prix de vente conseillé TTC;Ecotaxe;TVA;Delai de livraison;Produit disponible
3698;Photinia  Red Robin ;102.20;;;;Taux réduit (10%);1 Semaine;Oui
1273;Photinia  Red Robin ;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
2772;Photinia  Red Robin ;67.00;;;;Taux réduit (10%);1 Semaine;Oui
2814;Pin parasol;131.80;;;;Taux réduit (10%);1 Semaine;Oui
2414;Pittosporum tenuifolium  Variegatum ;59.00;;;;Taux réduit (10%);1 Semaine;Oui
4152;Pittosporum tenuifolium  Variegatum ;93.00;;;;Taux réduit (10%);1 Semaine;Oui
5019;Pittosporum tenuifolium  Variegatum ;1;;;;Taux réduit (10%);1 Semaine;Epuisé/Supprimé
4154;Pittosporum tobira;44.90;;;;Taux réduit (10%);1 Semaine;Oui
8316;Pittosporum tobira;58.40;;;;Taux réduit (10%);1 Semaine;Oui
903;Pittosporum tobira  Nana ;94.40;;;;Taux réduit (10%);1 Semaine;Oui
2575;Polygala myrtifolia;50.00;;;;Taux réduit (10%);1 Semaine;Oui
8764;Polygala myrtifolia;38.00;;;;Taux réduit (10%);1 Semaine;Oui
2078;Polygala myrtifolia;55.00;;;;Taux réduit (10%);1 Semaine;Oui
1903;Polygala myrtifolia;69.00;;;;Taux réduit (10%);1 Semaine;Oui
